"","score","text","klasifikasi"
"32",1,"and counting dead people due to your  incompetencies you are the epitome of entitlement high talking loser  coronavirus jaredkushnerforprison  trumpcoronavirustestfailure  trumpownseverydeath  kushnerownseverydeath  coronavirususa","Positif"
"33",4,"boris johnson also talked about successes xfxfxax funnily when he resumed work his first call was to trump who also spouts this nonsense usa coronavirususa coronavirusuk","Positif"
"34",4,"coronavirususa  trumps thinking for what it is worth only a week ago that the death toll in the usa would be very low possibly as low as  has already gone up in smoke wish that it was otherwise and also for the words sake that he will be defeated come november","Positif"
"35",-2,"xfxfxxafxefxbxf xexxctheyre truly alone and thats the most heartbreaking  around  residents died from coronavirus at  veteransxexx home in massachusetts coronavirususa covid","Negatif"
"36",2,"earlier jets from the us navyxexxs  and the air forcexexxs  flew over new york city to pay tribute to health workers fighting the coronavirus pandemic coronavirususa","Positif"
"37",0,"update coronavirususa  coronavirus cases  deaths globally   cases  deaths the united states has  of the worlds coronavirus cases","Netral"
"38",3,"basically it doesnt matter if you are endangered in your work environment or that you will die as a result of it they will cut your unemploymentbenefits coronavirus covid covid coronavirususa","Positif"
"39",-1,"the experimental antiviral drug remdisivir has reportedly generated positive data in tests run by the niaid to examine its potential as a coronavirus treatment  compare reporting from   and   coronavirususa healthcare","Negatif"
"40",-1,"covid coronavirus coronaviruslockdownuk coronavirususa coronavirusbriefing coronavirus  deaths in america","Negatif"
"41",4,"please help a healthcare work  ixexxm struggling and could use any help i can get thank you ashleyrhollis cashapp cashappgiveaway bailouthumans bailouthumansnow healthcareheroes healthcareworkers covid coronavirususa healthworkers","Positif"
"42",-3,"coronavirus coronavirususa coronavirusupdate   based the absolutes closed cases where  recovered and  died i am gonna assume by those absolutes that survival in the united states is  almost  will die here are stats and states listed in order of most cases","Negatif"
"43",1,"warren aoc make coronavirus weapon stop business prosperity while americans are suffering  coronavirususa political","Positif"
"44",0,"breaking good news coronavirus us top infectious disease doctor says drug trial shows quite good news coronavirus  coronavirus coronaviruspandemic coronavirususa coronavirusupdates covid covidxexxbc covid covid","Netral"
"45",-4,"americans were killed in the vietnam war over a period of  years more than  americans have been killed by covidxexxbc since january of this year  its not a hoax  its not a democratic conspiracy its not a ploy to oust trump  coronavirususa","Negatif"
"46",2,"the chelsea collaborative is whats happening  im in awe of the amazing work theyre doing to save lives and keep our city healthy     staysafe covid fooddelivery community communityservice prayer covid coronavirususa","Positif"
"47",-1,"really get your head out of your ass with over  deaths this government did not respond fakenews covid worstpresidentinhistory coronavirususa coronavirusupdate","Negatif"
"48",3,"lol let him panic hes quite old anyway americans worried about food and keeping a roof over their heads is more important if thats socialism then so be it the government propping up corporations is socialism coronavirususa","Positif"
"49",5,"im not sure trump understands what a virus is i would love to hear him describe it as simply as he can that would be fun coronavirususa","Positif"
"50",0,"coronavirususa  one that was carried largely on the lips of medical professionals who have no business running a national economy or government","Netral"
"51",1,"cnn reporter on jared kushners victory lap i dont know what hes talk  via  pathetic covid coronavirus covidus coronaviruspandemic coronaviruslockdown coronavirususa coronavirusoutbreak","Positif"
"52",-2,"coronavirususa in fact covid hype will go down as one of the political worldxexxs biggest most shamefully overblown overhyped overly and irrationally inflated and outright deceptively flawed responses to a health matter in american history","Negatif"
"53",1,"im just going to pin this because it hasnt changed does everyone understands this visual us consistently has  of all cases in the world coronavirus covid coronavirususa trumpliesamericansdie","Positif"
"54",3,"honestly suzanne collins is living her best life rn a new bookmovie in the works and a hunger gamesstyle rebellion hitting the usa so who gonna be our mockingjay pandemic coronavirususa hungergames","Positif"
"55",0,"central park west a typically bustling stretch on manhattanxexxs upper westside in new york during peak hour today coronavirususa","Netral"
"56",0,"coronavirus death toll in us likely worse than numbers say  coronavirususa coronaviruspandemic covid votehimout votebluetoendthisnightmare voteblue wakeupamerica wakeup","Netral"
"57",2,"fema orders  new body bags as us covid death toll exceeds  report    coronavirususa","Positif"
"58",3,"trump i didnxexxt say it he did and here is the tape  via  trump donthecon trumplies pathetic covid coronavirus covidus coronaviruspandemic coronaviruslockdown coronavirususa coronavirusoutbreak","Positif"
"59",0,"central park west a typically bustling stretch on manhattanxexxs upper westside in new york during peak hour today  coronavirususa","Netral"
"60",2,"fema orders  new body bags as us covid death toll exceeds    coronavirususa","Positif"
"61",-1,"nothing to see here folks just an unusual amount of deaths in relation to the last few years  a   maga trump trumplandslide kag kag coronavirus covidus coronavirusoutbreak covid covidusa covid coronavirususa","Negatif"
"62",2,"is my favorite essentialworker essentialworkersday thankyou coronavirususa covidpandemic","Positif"
"63",0,"donxexxt destroy peoplexexxs lives and livelihoods  coronavirususa","Netral"
"64",-2,"one in four americans depend on trump as major source of covid news  poll   coronavirususa","Negatif"
"65",1,"how accurate is us covid death count   coronavirususa","Positif"
"66",-2,"worst economy in a decade whatxexxs next xexxworst in our lifetimexexx coronavirususa trumpinaction  realdonaldtrump trump","Negatif"
"67",2,"the white house gift shop is selling coronavirus commemorative coins now coronavirususa wuhancoronavirus","Positif"
"68",0,"ventilators gt testing gt masks which direction will the herd be stampeded next  perpetualcrisis mediamanipulation madnessofcrowds coronalockdown coronavirususa coronavirus","Netral"
"69",0,"they will let you drown in your pool of facts hence the name xexxcthe leftxexxd  xfxfxaxaxfxfxxexfxfxxdxfxfxxbaxfxfxxbxfxfxxf antibodies backtowork coronavirususa","Netral"
"70",-3,"k americans have died surpassing the amount of  us troops that died in the vietnam war   but what do coronavirus and the vietnam war have in common   did nothing to fight either of them   coronavirus covid coronavirususa coronavirusoutbreak covid","Negatif"
"71",0,"coronavirus coronavirususa sarscov covid covidusa   time to reopen the economy xfxfxax","Netral"
"72",1,"here are the ct dept of public health covid stats for wednesday april     please stay safe and healthy as we work together through this pandemic coronavirusct coronavirususa hopesandprayers","Positif"
"73",0,"covid risk exaggerated   covid covid levellockdown dlaminizuma coronavirus coronavirusuk coronavirusinindia coronavirusinnigeria coronavirusde coronavirususa endthelockdown covidusa covidaus covidxexxbc covidcanada stayhomesavelives","Netral"
"74",0,"wow incredibly heartbreakingxfxfxxfxfxfxfxbexfxfxxxfxfxxbaxfxfxxb coronavirususa","Netral"
"75",-1,"a disinfo campaign by the fakenewsmedia and partisan driven regulations by democratic politicians has prevented for many the use of a valuable tool against the coronavirus   great study from italy on hydroxychroloquine  coronavirususa kag twgrp","Negatif"
"76",0,"which country has the highest coronavirus death toll  watch the bar chart race here xfxfxx   coronavirus death covid covid corona lockdown covid data coronavirususa usa spain coronavirusindia wednesdaymorning wednesdaymood wednesdaythoughts","Netral"
"77",0,"which country has the highest coronavirus death toll  watch the bar chart race here xfxfxx   coronavirus death covid covid corona lockdown covid data coronavirususa usa spain coronavirusindia wednesdaymorning wednesdaymood wednesdaythoughts","Netral"
"78",0,"b nih initiative seeks to make covid diagnostics available to all americans by end of summer  coronavirustests covidtesting covid covid covidusa coronavirustesting covid covidus coronavirususa coronavirus covidxexxbc","Netral"
"79",2,"the kangaroo crew  stay safe prek homeschool socialdistancing  health  kids mom dad homebound nj freeresources fun literacy games story  coronavirususa cnnsesamestreet masks alphabet","Positif"
"80",2,"now hes seeking to profit from all this death amp suffering is there no depth he wont sink to people are sick amp dying amp this white house gift shop is selling this crap coronavirususa votehimout votebluetoendthisnightmare voteblue wakeupamerica wakeup","Positif"
"81",-1,"update maryland begins universal covid testing for all nursing homes  governor  sputnikupdates coronavirususa","Negatif"
"82",0,"coronavirus coronavirususa drtedros  ccp xi jingping and who did this","Netral"
"83",-1,"xexxa phantom plaguexexx evangelicals who defied socialdistancing guidelines are dying of coronavirus in frightening numbers  usa fakechristians trumpsupporters idiots coronavirusupdates coronavirususa covid","Negatif"
"84",-3,"and didnt  say all the tests needed were on their way they lie they lie      wherearethetests  coronavirususa","Negatif"
"85",5,"xexxdi wanna go back to where it was thatxexxs where wexexxre going to be look this thing will pass wexexxve done a very good job and wexexxre now on the other sidexexxd  donald trump  apr   trumpisanidiot xfxfxaxa coronavirususa xfxfxxbaxfxfxxb","Positif"
"86",0,"top us doctor new remdesivir data shows xexxsignificantxexx cut in covid recovery  coronavirususa","Netral"
"87",-1,"icymi  donates jet fuel to  and  for coronavirus relief efforts via   oott oilandgas bp coronavirususa","Negatif"
"88",0,"nurses to antilockdown activists my lifes on the line go home   stayathome coronavirususa pandemicresponse publichealth","Netral"
"89",1,"sen tammy duckworth says trump values tv ratings over health of west point cadets  coronavirususa coronaviruspandemic westpointcadets westpoint  healthrisk votehimout votebluetoendthisnightmare voteblue wakeupamerica","Positif"
"90",-1,"in view of the continuing coronavirususa and covid we are canceling the may  testing session be safe and stay healthy","Negatif"
"91",0,"america during global lockdown memes coronavirus coronavirususa usa","Netral"
"92",0,"hoping for the best xfxfxxfxfxfxfxbxfxfxxfxfxfxfxbxfxfxxfxfxfxfxbb  coronavirus coronavirususa covid","Netral"
"93",0,"governor ron desantis speaks breakingnewsnow breakingnews breakingnews breakingnewz breakingnow breaking florida fla fl coronavirus covid coronaviruspandemic covidpandemic coronavirusus covidus coronavirususa covidusa pandemic","Netral"
"94",4,"millions of americans are still afraid to leave their houses but the white house is talking about it in the past tense as if the movie is over and for the low low price of only  on sale for  if you act now you can even get a commemorative coin set  coronavirususa","Positif"
"95",-3,"im guessing no one in this family has had or died from the coronavirus because what in thee entire is there to celebrate about this global pandemic you sick mofosxfxfxxaxfxfxaxac simple minded azzhats  always always always about the money for these chitstains on society  coronavirususa","Negatif"
"96",1,"hey letxexxs define what age someone ceases to be valuable coronavirususa wtf","Positif"
"97",0,"billgates  april  be ready for pandemic   xcexbaxcexbfxcfxxcfxxcexbdxcexbfxcexbxcexbfxcfx xcexbaxcexbfxcfxxcexbfxcexbdxcexbfxcfxaxcexbfxcfx xcexbcxcexbxcexbdxcexbfxcfxxcexbcxcexbxcfxxcfxxcexafxcfxxcexb xcexbaxcexbxcfxxcexbxcexbdxcfxxcexbxcexbdxcexb coronavirus covid coronaviruspandemic covidxexxbc covid vaccination pandemic coronavirususa stayathome nwo health pandemia populationreduction","Netral"
"98",-1,"latest update on the coronaviruspandemic i didnxexxt think there could be a more basket case response to the coronavirus than the usa then brazil comes along  months into this and there are still countries in denial covid covidxexxbc coronavirusuk coronavirususa covid","Negatif"
"99",-1,"african americans account for  of georgia coronavirus hospitalizations coronavirusupdate coronavirususa t","Negatif"
"100",1,"try to get your head around this projection by  while also remembering that he deleted this tweet  covid coronavirus democrats liars corruption coronavirususa","Positif"
"101",1,"coronavirusuk coronavirususa ripirrfankhan i dont normally do the pope but this is spot onxfxfxx","Positif"
"102",1,"xfxfxxbaxfxfxxbxfxfxxbaxfxfxxbxfxfxxbaxfxfxxbxfxfxx  the official death toll in the usa is now over   xfxfxxbaxfxfxxbxfxfxxbaxfxfxxbxfxfxxbaxfxfxxbxfxfxx  coronaviruspandemic coronavirus  covidpandemic   covid  covidusa  coronavirususa","Positif"
"103",0,"florida ordered coroners to stop releasing coronavirus death totals  coronavirusupdate  coronavirususa","Netral"
"104",0,"coronavirus coronavirususa openamericanow usa things that make you go hmmmcovid drug researchedtestedapproved super fastpossibly already tested amp just waiting for right time to release as treatment","Netral"
"105",0,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf    coronavirus  covid  coronavirususa  pandemic","Netral"
"106",0,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf  youtube ceo susan wojcicki warns anything that goes against who will be removed from youtube   coronavirus  covid  coronavirususa  pandemic","Netral"
"107",-1,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf  covid press conference with dr dan erickson and dr artin massihi of accelerated urgent care in bakersfield california   coronavirus  covid  coronavirususa  pandemic","Negatif"
"108",2,"xexxbcxefxbxfxexacxxefxbxfxfxfxxxfxfxfxbccovid thread xexacxxefxbxfxfxfxxxfxfxfxbcxexxbcxefxbxf  can you find this video   coronavirus  covid  coronavirususa  pandemic","Positif"
"109",0,"uh huh right the trump troupe including you    know nothing amp are pushing the us to deeper coronavirususa  disaster iceberg what iceberg","Netral"
"110",-2,"dear mrpresident if i remember well your prediction back in early april was kdeaths for coronavirususa not before july bad prediction once again today  xfxfxxfxfxfxxfxfxfxxf god saves xfxfxxbaxfxfxxb","Negatif"
"111",0,"us positivedeaths over  positive  covidus coronavirususa coronavirus coronavirusupdateusa usacoronavirus usalockdown coronavirusupdates coronavirusupdate usavirus covid covid newyorktimes newyorkstateofmind covidusa coronaviruspandemic","Netral"
"112",-1,"trump yesmen knownothings now running  along with     amp others has left us govt weak amp struggling        coronavirususa     via","Negatif"
"113",-1,"the difference between flights above eu and us is staggering here i look into the reason why and ask if it is a major factor in the spread of covid in us which has now passed a million cases of coronavirus coronavirususa f","Negatif"
"114",1,"the rising number of homeless people in minnesota is worrying with the outbreak of the coronavirus in the united states and trump administration is still doing poorly coronavirus coronavirususa","Positif"
"115",0,"covid  coronavirus coronavirususa   join us thegreatawakening","Netral"
"116",-1,"with the us economy shutting down to deal with the outbreak of the coronavirus the countrys economic situation is sounding the alarm coronavirus covid coronavirususa","Negatif"
"117",2,"i suppose some twitter arguments require more than a few tweets free america covid coronavirus coronavirustruth coronavirususa freeamericanow openupamerica","Positif"
"118",-3,"wow i would be devastated if my  year old grandmother died of covid  or for any reason thankfully she is healthy and not in a nursing home the thoughtlessness of these asshats is astounding coronavirususa covid","Negatif"
"119",1,"the fight against corona requires a great deal of social trust but we do not see it in the united states coronavirus coronavirususa","Positif"
"120",0,"while the corona virus kills people in new york city hart island hosts new dead coronavirus covid coronavirususa","Netral"
"121",-3,"those guys will sell anything including selling out america and us the poor victims of coronavirususa  gtgtgt covidiots and they still luv him like roberto duran would say no mask","Negatif"
"122",-1,"these are confirmed deaths there are likely thousands more but we arenxexxt able to sufficiently test in order to arrive at an accurate number coronavirususa covid","Negatif"
"123",0,"breaking us crosses  deaths coronavirususa","Netral"
"124",0,"mass update   cases and  deaths  cases in bristol county where i live   new deaths  coronavirususa coronavirus coronavirusupdate coronavirusmassachusetts","Netral"
"125",1,"current  day rolling average of covid testing per capita per  people coronavirususa   us seems to be comparing well","Positif"
"126",2,"this is how we know what love is jesus christ laid down his love for us niv bible  john   coronavirusus coronavirususa covidus covidusa covidus covidusa","Positif"
"127",1,"trump says he wont extend social distancing guidelines  coronavirususa coronaviruspandemic covid openingtoosoon stayhome washyourhands votehimout votebluetoendthisnightmare voteblue wakeupamerica wakeup","Positif"
"128",1,"breaking  us covid death toll surpasses   johns hopkins university   sputnikbreaking  coronavirususa","Positif"
"129",5,"how to keep makeup and tools clean amid the pandemic   life live beauty health fitness usa jobs free makeup family leadership success science covid model girl coronavirususa home wednesdaywisdom wednesdaythoughts wednesdaymotivation","Positif"
"130",0,"italy is performing twice as many tests per dayper capita followed by spain losing coronavirus coronavirususa","Netral"
"131",2,"so basically any big plant is in trouble coronavirus covidus coronavirusoutbreak covid covid covidusa covid coronaviruspandemic coronavirususa socialdistancing stayathome stayhome ccpvirus","Positif"
"132",1,"you trumpy  are  a complete failure amp you  trump are on your way out of power  before may st you trump own the coronavirususa amp the over  cases amp over  deaths biggly  as your spawn jr  likes to say  resignnowtrump","Positif"
"133",0,"senior chinese official challenges trump over coronavirus response says us wasted weeks  coronavirususa coronaviruspandemic covid trumpliedpeopledied votehimout votebluetoendthisnightmare voteblue wakeupamerica wakeup","Netral"
"134",0,"coronavirususa reported deaths now exceed","Netral"
"135",-2,"i have no polite words for thisxfxfxx          trump kag coronavirus  kag coronaviruspandemic  coronavirusoutbreak covid covidusa covid coronavirususa","Negatif"
"136",0,"making the best out of quarantine give her a listen to brighten your day xexdxaxefxbxf coronavirususa quarantinelife covid","Netral"
"137",4,"ive posted my next cobioart coloring pages this time we learn a little bit about the mantisshrimp im still happy to take requests so let me know if there is anything you want to learn more aboutcolor    stayhome coronavirususa homeschooling","Positif"
"138",1,"fda to authorize emergency use of new coronavirus treatment  coronavirususa coronaviruspandemic covid stayhome washyourhands votehimout votebluetoendthisnightmare wakeupamerica","Positif"
"139",-3,"last night xfxfxx   messy hair  drinking wine directly out of the bottle  dancing to cant touch this in the kitchen  next quarantine level unlocked xfxfxxc  covidxexxbc  coronavirususa  quarantinelife","Negatif"
"140",-4,"billdeblasio breaks up crowded  funeral in brooklyn now faces criticism for singling out jewishcommunity covid coronavirususa","Negatif"
"141",0,"united states world coronavirus covid cases statistics   united states coronavirus cases deaths recovered  covidusa coronavirususa covidusa unitedstatesofamerica usacoronavirus  source worldometers","Netral"
"142",1,"infected people really shows the failure of trumps presidency      coronavirususa","Positif"
"143",1,"texas already seeing close to  new cases of the plague today just a couple days after reopening as alluded to yesterday will be interesting to see how the red gop control group states georgia florida and texas perform over the next few days and weeks coronavirususa","Positif"
"144",1,"so  treats ground hogs better than he treats the jews of newyorkcity  coronavirusnyc coronavirus coronavirususa wednesdaymotivation","Positif"
"145",-2,"covidupdate hjhu normal oscillation grandpasfuture coronavirus coronadeutschland coronavirususa     regierung swedenspaingbrfrance oscillation upwards swissitaly slowly down austriabrd const usahigh","Negatif"
"146",2,"just a reminder  americans have died as a result of coronavirus since  declared we have it all under control on january    covid covidxexxbc covid coronavirususa deathtoll","Positif"
"147",0,"these disgustingly despicable people will soon be consigned to the garbage cans of infamy ripallwhohavedied coronavirususa","Netral"
"148",-1,"someone shouldve told the virus that trump is about to write an executiveorder ordering meat packing plants to remain open  maybe then the virus would had left this guy alone  sarcasm meatshortage foodshortages coronavirususa","Negatif"
"149",3,"i feel really sick and the doctors say that i might have coronavirus wish me well and i hope i stay alive fightagainstcorona covidsafe covidout coronavirususa antivax","Positif"
"150",-2,"at the beginning of  some  million were already facing dire levels of hunger that figure could now more than double the number of people facing acute hunger to  million by the end of this year where u at leftists  coronavirus coronavirusliar coronavirususa","Negatif"
"151",1,"coming to a town near you  coronavirususa senselesslaws butwecanpackintowalmarts","Positif"
"152",2,"dont be fooled return to work means a return to unsafe workplaces   opencalifornianow opencalifornia openamerica     coronavirususa maga kag   via","Positif"
"153",0,"as a michigan business its an honor to contribute locally to the fight against covid wackersolutions wackercares coronavirususa coronaviruspandemic","Netral"
"154",0,"fauci discusses positive results from remdesivir drug trial coronavirususa","Netral"
"155",-2,"the whitehouse realdonaldtrump are without a doubt in the twilightzone   total sociopath clueless and no empathy for anyone oann foxnewsliedaspeopledied  gop derangeddonald donthecon election vote deplorables taxpayers coronavirususa","Negatif"
"156",0,"any of my emergency managers or anyone who typically responds to any large incidents know if trump understands the incident command structure trumpgenocide congratstotrump coronavirususa disinfectantdonnie","Netral"
"157",1,"exposed three things lockdowns have exposed about working and parenting  the new york times  via   prek homeschool socialdistancing  health  kids mom dad homebound nj  coronavirususa  masks alphabet uk wednesdaymotivation","Positif"
"158",-1,"feds powell credit programs not subject to dollar limit  economy and many borrowers will benefit from fed programs others will need direct financial support from the government  read more at    forex  covid coronavirus coronavirususa","Negatif"
"159",1,"feds powell   forceful measures taken in response to the health crisis has brought much of the country to a halt  read more at    forex trading forexsignals stocks money covid coronavirus coronavirususa","Positif"
"160",-2,"feds powell  economy to drop at unprecedented rate in second quarter  read more at    forex trading forexsignals stocks money covid coronavirus coronavirususa","Negatif"
"161",-1,"no physical distancing no masks no good example derangeddonald idiotinchief coronavirususa","Negatif"
"162",1,"wanna mess with your kids or so give them blue cookies they will gobble them up then just wait for the concern questions about bright green poop coronavirususa familyfuntime","Positif"
"163",0,"better days are coming letxexxs stay positive and strong coronavirus coronavirususa nycoronavirus nycstrong","Netral"
"164",-1,"professors are terrified parents will find out what theyre teaching because of online classes  covid  covid  covidxexxbc  coronavirususa   campreform      day","Negatif"
"165",1,"despite what youve heard you cant fight covid with antibiotics antibiotics are effective against bacteria not viruses  thanks to  for creating these mythbuster graphics to correct the misinformation about coronavirus  publichealth coronavirususa covidpandemic","Positif"
"166",2,"you being an idiot and keep the mta open is more dangerous than a funeral coronavirus coronavirususa coronavirusoutbreak nycoronavirus nyc nyclockdown covid covid covidxexxbc","Positif"
"167",1,"feds powell   forceful measures taken in response to the health crisis has brought much of the country to a halt  read more at   forex trading forexsignals stocks money covid coronavirus coronavirususa","Positif"
"168",3,"good luck you turned your back on the nypd think they will do anything you say bluelivesmatter nypd nyc coronavirususa billdeblasio","Positif"
"169",-5,"line up for your daily news where were almost at the peak for covid deaths every day  covid covid corona coronavirus coronavirusupdate coronavirususa","Negatif"
"170",0,"deaths amp we donxexxt hear their stories  we have to listen about opening back up amp personal happy stories  sad amp sickening  humans around us dead  inthistogether bullsht ohio coronavirus coronavirususa covid covidxexxbc flattenthecurve coronaviruslockdown","Netral"
"171",0,"aka as trump is very jealous of the amazing drfauci amp even drbirx coronavirus coronavirususa coronavirusoutbreak","Netral"
"172",-1,"it is habbening at least in major cities the unemployment system has crashed there is no work no food and people are considering suicide or violence  id take violence personally  coronavirususa coronavirusflorida economiccollapse","Negatif"
"173",-1,"we are ready to reopen when media starts acting like a tabloid and kept reporting on who is wearing what update on what the same glorified family members are posting on instagram  demand accountability all around   coronavirususa","Negatif"
"174",0,"i thought this was a fcking joke its not the wh online gift shop has covid coins trumpownseverydeath  coronavirususa","Netral"
"175",-2,"if you dont sit on the phone with the unemployment office allowing the phone to ring over and over again until it just hangs up are you even getting the full coronavirus experience   covid coronavirususa","Negatif"
"176",0,"amen to thatxfxfxxfxfxfxfxbxfxfxxfxfxfxfxbxfxfxxfxfxfxfxbb xexdxaxefxbxfxfxfxaxdxfxfxxxfxfxxbaxfxfxxbcomplicitcorruptgop coronavirususa  crimesagainsthumanity trumpisacompletefailure","Netral"
"177",-3,"a timeline of covidusa april update    human life lost   human lives lost   human lives lost and thatxexxs not the total count for today yet       deaths in a single month  these numbers speak for themselves coronavirususa","Negatif"
"178",1,"since therexexxs never been a coronavirususa of substance before itxexxs automatically unprecedented  to try and fill the american people with propaganda like this is shameful of you trump and the whitehouse","Positif"
"179",0,"gee i wonder why florida officials are asking medical examiners to hold coronavirus death numbers  coronavirususa","Netral"
"180",0,"usa fatality timeline  st death recorded on  feb   deaths   april after  days   deaths   april   days   deaths   april   days   deaths   april   days   deaths   april   days   deaths   april   days  coronavirususa","Netral"
"181",-1,"when were beyond deadly threat we will coronavirus covid coronavirususa","Negatif"
"182",-2,"remdesivir the saviour for freeamericatoday campaign us stock markets opening us economy and finally trump   covid coronavirususa usa","Negatif"
"183",-1,"top german science guy  cvoid kids just as contagious as adults      covid coronavirusus cdc covid coronavirusnewyork coronavirusseattle covidaustralia coronavirususa foxnews coronavirusoutbreak coronavirusgermany cnbc","Negatif"
"184",-1,"stop looking the other way  americans are dying each day from covid and your president is too busy playing election pantomime to even notice let alone care unfitforoffice coronavirususa","Negatif"
"185",1,"florida without making a single government cut has announced it needs massive federal bailout  time to start robbing from peter to pay paul  cashgrab bailout coronavirususa covid coronavirusflorida florida","Positif"
"186",1,"this sounds like house arrest to me states are letting criminals free from prison and harassing citizens this is not about your health coronavirususa lockdownextended","Positif"
"187",-1,"desperate times call for desperate measures coronavirususa","Negatif"
"188",-2,"trump still seems to not understand how bad the coronavirus crisis is coronavirususa","Negatif"
